No Transaksi	Jenis Transaksi	Tanggal	Nama Pelanggan	Kode Produk	Nama Produk	Jumlah	Harga
330	Penjualan	06-05-2020	Sri	Item-05	Mi Goreng Instant	3	2600
331	Penjualan	06-05-2020	Tasya	Item-03	Gula Pasir Putih 1 kg	3	12500
331	Penjualan	06-05-2020	Tasya	Item-04	Kopi Instant	2	5200
331	Penjualan	06-05-2020	Tasya	Item-05	Mi Goreng Instant	3	2600
332	Penjualan	06-05-2020	Zaki	Item-05	Mi Goreng Instant	2	2600
333	Stok Masuk	07-05-2020	-	Item-10	Biskuit Waver Kaleng	56	-
333	Stok Masuk	07-05-2020	-	Item-13	Pisau Cukur	6	-
333	Stok Masuk	07-05-2020	-	Item-18	Telur Ayam Negeri	74	-
333	Stok Masuk	07-05-2020	-	Item-19	Obat Diare	20	-
334	Penjualan	07-05-2020	Agung	Item-02	Bawang Putih 200 gram	4	15000
334	Penjualan	07-05-2020	Agung	Item-03	Gula Pasir Putih 1 kg	1	12500
334	Penjualan	07-05-2020	Agung	Item-05	Mi Goreng Instant	1	2600
334	Penjualan	07-05-2020	Agung	Item-06	Sabun Mandi Cair 100 ml	2	10500
335	Penjualan	07-05-2020	Andi	Item-02	Bawang Putih 200 gram	1	15000
335	Penjualan	07-05-2020	Andi	Item-03	Gula Pasir Putih 1 kg	2	12500
335	Penjualan	07-05-2020	Andi	Item-05	Mi Goreng Instant	4	2600
335	Penjualan	07-05-2020	Andi	Item-08	Vitamin C	4	2000
336	Penjualan	07-05-2020	Anggun	Item-06	Sabun Mandi Cair 100 ml	3	10500
337	Penjualan	07-05-2020	Asep	Item-03	Gula Pasir Putih 1 kg	1	12500
337	Penjualan	07-05-2020	Asep	Item-05	Mi Goreng Instant	1	2600
337	Penjualan	07-05-2020	Asep	Item-06	Sabun Mandi Cair 100 ml	1	10500
338	Penjualan	07-05-2020	Galang	Item-02	Bawang Putih 200 gram	3	15000
338	Penjualan	07-05-2020	Galang	Item-03	Gula Pasir Putih 1 kg	2	12500
338	Penjualan	07-05-2020	Galang	Item-05	Mi Goreng Instant	4	2600
338	Penjualan	07-05-2020	Galang	Item-06	Sabun Mandi Cair 100 ml	4	10500
339	Penjualan	07-05-2020	Hadi	Item-01	Batere AA	2	12000
339	Penjualan	07-05-2020	Hadi	Item-02	Bawang Putih 200 gram	2	15000
339	Penjualan	07-05-2020	Hadi	Item-03	Gula Pasir Putih 1 kg	3	12500
339	Penjualan	07-05-2020	Hadi	Item-05	Mi Goreng Instant	4	2600
339	Penjualan	07-05-2020	Hadi	Item-06	Sabun Mandi Cair 100 ml	3	10500
340	Penjualan	07-05-2020	Kardi	Item-03	Gula Pasir Putih 1 kg	4	12500
340	Penjualan	07-05-2020	Kardi	Item-05	Mi Goreng Instant	2	2600
340	Penjualan	07-05-2020	Kardi	Item-06	Sabun Mandi Cair 100 ml	2	10500
341	Penjualan	07-05-2020	Murni	Item-01	Batere AA	4	12000
341	Penjualan	07-05-2020	Murni	Item-02	Bawang Putih 200 gram	2	15000
341	Penjualan	07-05-2020	Murni	Item-03	Gula Pasir Putih 1 kg	2	12500
341	Penjualan	07-05-2020	Murni	Item-05	Mi Goreng Instant	4	2600
341	Penjualan	07-05-2020	Murni	Item-06	Sabun Mandi Cair 100 ml	1	10500
342	Penjualan	07-05-2020	Tika	Item-06	Sabun Mandi Cair 100 ml	1	10500
343	Penjualan	07-05-2020	Ujang	Item-01	Batere AA	3	12000
343	Penjualan	07-05-2020	Ujang	Item-02	Bawang Putih 200 gram	2	15000
343	Penjualan	07-05-2020	Ujang	Item-03	Gula Pasir Putih 1 kg	2	12500
343	Penjualan	07-05-2020	Ujang	Item-04	Kopi Instant	1	5200
343	Penjualan	07-05-2020	Ujang	Item-05	Mi Goreng Instant	1	2600
344	Penjualan	07-05-2020	Wulan	Item-01	Batere AA	1	12000
344	Penjualan	07-05-2020	Wulan	Item-02	Bawang Putih 200 gram	2	15000
344	Penjualan	07-05-2020	Wulan	Item-03	Gula Pasir Putih 1 kg	3	12500
344	Penjualan	07-05-2020	Wulan	Item-05	Mi Goreng Instant	3	2600
344	Penjualan	07-05-2020	Wulan	Item-06	Sabun Mandi Cair 100 ml	4	10500
345	Penjualan	07-05-2020	Yudhi	Item-03	Gula Pasir Putih 1 kg	4	12500
345	Penjualan	07-05-2020	Yudhi	Item-05	Mi Goreng Instant	2	2600
345	Penjualan	07-05-2020	Yudhi	Item-06	Sabun Mandi Cair 100 ml	2	10500
346	Penjualan	07-05-2020	Yuli	Item-01	Batere AA	4	12000
346	Penjualan	07-05-2020	Yuli	Item-02	Bawang Putih 200 gram	4	15000
346	Penjualan	07-05-2020	Yuli	Item-03	Gula Pasir Putih 1 kg	1	12500
346	Penjualan	07-05-2020	Yuli	Item-05	Mi Goreng Instant	2	2600
346	Penjualan	07-05-2020	Yuli	Item-06	Sabun Mandi Cair 100 ml	4	10500
347	Stok Masuk	08-05-2020	-	Item-02	Bawang Putih 200 gram	42	-
347	Stok Masuk	08-05-2020	-	Item-09	Roti Tawar	20	-
348	Penjualan	08-05-2020	Diki	Item-05	Mi Goreng Instant	1	2600
348	Penjualan	08-05-2020	Diki	Item-08	Vitamin C	2	2000
349	Penjualan	08-05-2020	Indah	Item-08	Vitamin C	1	2000
350	Penjualan	08-05-2020	Marta	Item-05	Mi Goreng Instant	4	2600
350	Penjualan	08-05-2020	Marta	Item-08	Vitamin C	4	2000
351	Penjualan	08-05-2020	Mita, Mira	Item-08	Vitamin C	3	2000
352	Penjualan	08-05-2020	Putri	Item-08	Vitamin C	1	2000
353	Penjualan	08-05-2020	Rahma	Item-05	Mi Goreng Instant	1	2600
353	Penjualan	08-05-2020	Rahma	Item-08	Vitamin C	4	2000
354	Penjualan	08-05-2020	Rasyid	Item-03	Gula Pasir Putih 1 kg	1	12500
354	Penjualan	08-05-2020	Rasyid	Item-05	Mi Goreng Instant	2	2600
354	Penjualan	08-05-2020	Rasyid	Item-08	Vitamin C	3	2000
355	Penjualan	08-05-2020	Siti	Item-08	Vitamin C	1	2000
356	Stok Masuk	09-05-2020	-	Item-05	Mi Goreng Instant	29	-
356	Stok Masuk	09-05-2020	-	Item-06	Sabun Mandi Cair 100 ml	80	-
356	Stok Masuk	09-05-2020	-	Item-17	Obat Batuk	29	-
357	Penjualan	09-05-2020	Iqbal	Item-02	Bawang Putih 200 gram	4	15000
357	Penjualan	09-05-2020	Iqbal	Item-03	Gula Pasir Putih 1 kg	2	12500
357	Penjualan	09-05-2020	Iqbal	Item-05	Mi Goreng Instant	1	2600
357	Penjualan	09-05-2020	Iqbal	Item-06	Sabun Mandi Cair 100 ml	4	10500
358	Penjualan	09-05-2020	Komang	Item-02	Bawang Putih 200 gram	2	15000
358	Penjualan	09-05-2020	Komang	Item-03	Gula Pasir Putih 1 kg	1	12500
358	Penjualan	09-05-2020	Komang	Item-05	Mi Goreng Instant	2	2600
358	Penjualan	09-05-2020	Komang	Item-06	Sabun Mandi Cair 100 ml	1	10500
359	Penjualan	09-05-2020	Nur	Item-01	Batere AA	4	12000
359	Penjualan	09-05-2020	Nur	Item-02	Bawang Putih 200 gram	4	15000
359	Penjualan	09-05-2020	Nur	Item-03	Gula Pasir Putih 1 kg	1	12500
359	Penjualan	09-05-2020	Nur	Item-05	Mi Goreng Instant	1	2600
359	Penjualan	09-05-2020	Nur	Item-06	Sabun Mandi Cair 100 ml	1	10500
360	Penjualan	09-05-2020	Tasya	Item-02	Bawang Putih 200 gram	4	15000
360	Penjualan	09-05-2020	Tasya	Item-03	Gula Pasir Putih 1 kg	1	12500
360	Penjualan	09-05-2020	Tasya	Item-05	Mi Goreng Instant	4	2600
360	Penjualan	09-05-2020	Tasya	Item-06	Sabun Mandi Cair 100 ml	1	10500
361	Penjualan	09-05-2020	Tri	Item-06	Sabun Mandi Cair 100 ml	4	10500
362	Penjualan	09-05-2020	Zahra	Item-05	Mi Goreng Instant	2	2600
362	Penjualan	09-05-2020	Zahra	Item-06	Sabun Mandi Cair 100 ml	4	10500
363	Stok Masuk	10-05-2020	-	Item-03	Gula Pasir Putih 1 kg	43	-
363	Stok Masuk	10-05-2020	-	Item-15	Ketan Hitam 500 gram	24	-
364	Penjualan	10-05-2020	Feri	Item-05	Mi Goreng Instant	4	2600
364	Penjualan	10-05-2020	Feri	Item-06	Sabun Mandi Cair 100 ml	2	10500
365	Penjualan	10-05-2020	Indah	Item-01	Batere AA	1	12000
365	Penjualan	10-05-2020	Indah	Item-02	Bawang Putih 200 gram	4	15000
365	Penjualan	10-05-2020	Indah	Item-03	Gula Pasir Putih 1 kg	3	12500
365	Penjualan	10-05-2020	Indah	Item-05	Mi Goreng Instant	1	2600
365	Penjualan	10-05-2020	Indah	Item-06	Sabun Mandi Cair 100 ml	3	10500
366	Penjualan	10-05-2020	Krisda	Item-06	Sabun Mandi Cair 100 ml	2	10500
367	Penjualan	10-05-2020	Kurnia	Item-01	Batere AA	4	12000
367	Penjualan	10-05-2020	Kurnia	Item-02	Bawang Putih 200 gram	2	15000
367	Penjualan	10-05-2020	Kurnia	Item-03	Gula Pasir Putih 1 kg	1	12500
367	Penjualan	10-05-2020	Kurnia	Item-05	Mi Goreng Instant	1	2600
367	Penjualan	10-05-2020	Kurnia	Item-06	Sabun Mandi Cair 100 ml	4	10500
368	Penjualan	10-05-2020	Marta	Item-05	Mi Goreng Instant	4	2600
368	Penjualan	10-05-2020	Marta	Item-06	Sabun Mandi Cair 100 ml	2	10500
369	Penjualan	10-05-2020	Nita	Item-01	Batere AA	2	12000
369	Penjualan	10-05-2020	Nita	Item-02	Bawang Putih 200 gram	4	15000
369	Penjualan	10-05-2020	Nita	Item-03	Gula Pasir Putih 1 kg	3	12500
369	Penjualan	10-05-2020	Nita	Item-05	Mi Goreng Instant	1	2600
369	Penjualan	10-05-2020	Nita	Item-06	Sabun Mandi Cair 100 ml	2	10500
370	Penjualan	10-05-2020	Putra	Item-01	Batere AA	2	12000
370	Penjualan	10-05-2020	Putra	Item-02	Bawang Putih 200 gram	2	15000
370	Penjualan	10-05-2020	Putra	Item-03	Gula Pasir Putih 1 kg	2	12500
370	Penjualan	10-05-2020	Putra	Item-05	Mi Goreng Instant	2	2600
370	Penjualan	10-05-2020	Putra	Item-06	Sabun Mandi Cair 100 ml	1	10500
371	Penjualan	10-05-2020	Siti	Item-06	Sabun Mandi Cair 100 ml	3	10500
372	Penjualan	10-05-2020	Tia	Item-06	Sabun Mandi Cair 100 ml	4	10500
373	Stok Masuk	11-05-2020	-	Item-02	Bawang Putih 200 gram	22	-
373	Stok Masuk	11-05-2020	-	Item-09	Roti Tawar	17	-
373	Stok Masuk	11-05-2020	-	Item-14	Teh Celup Melati	38	-
373	Stok Masuk	11-05-2020	-	Item-18	Telur Ayam Negeri	50	-
374	Penjualan	11-05-2020	Bagus	Item-06	Sabun Mandi Cair 100 ml	1	10500
374	Penjualan	11-05-2020	Bagus	Item-08	Vitamin C	3	2000
375	Penjualan	11-05-2020	Bella	Item-06	Sabun Mandi Cair 100 ml	2	10500
376	Penjualan	11-05-2020	Fajri	Item-03	Gula Pasir Putih 1 kg	3	12500
376	Penjualan	11-05-2020	Fajri	Item-05	Mi Goreng Instant	3	2600
376	Penjualan	11-05-2020	Fajri	Item-06	Sabun Mandi Cair 100 ml	4	10500
377	Penjualan	11-05-2020	Hengky	Item-03	Gula Pasir Putih 1 kg	2	12500
377	Penjualan	11-05-2020	Hengky	Item-06	Sabun Mandi Cair 100 ml	3	10500
377	Penjualan	11-05-2020	Hengky	Item-09	Roti Tawar	2	12500
378	Penjualan	11-05-2020	Rahmad	Item-06	Sabun Mandi Cair 100 ml	2	10500
379	Penjualan	11-05-2020	Ujang	Item-01	Batere AA	3	12000
379	Penjualan	11-05-2020	Ujang	Item-02	Bawang Putih 200 gram	4	15000
379	Penjualan	11-05-2020	Ujang	Item-03	Gula Pasir Putih 1 kg	1	12500
379	Penjualan	11-05-2020	Ujang	Item-05	Mi Goreng Instant	3	2600
379	Penjualan	11-05-2020	Ujang	Item-06	Sabun Mandi Cair 100 ml	1	10500
380	Penjualan	11-05-2020	Wulan	Item-02	Bawang Putih 200 gram	4	15000
380	Penjualan	11-05-2020	Wulan	Item-03	Gula Pasir Putih 1 kg	3	12500
380	Penjualan	11-05-2020	Wulan	Item-05	Mi Goreng Instant	1	2600
380	Penjualan	11-05-2020	Wulan	Item-06	Sabun Mandi Cair 100 ml	1	10500
381	Penjualan	11-05-2020	Yudhi	Item-02	Bawang Putih 200 gram	1	15000
381	Penjualan	11-05-2020	Yudhi	Item-03	Gula Pasir Putih 1 kg	3	12500
381	Penjualan	11-05-2020	Yudhi	Item-05	Mi Goreng Instant	4	2600
381	Penjualan	11-05-2020	Yudhi	Item-06	Sabun Mandi Cair 100 ml	4	10500
382	Stok Masuk	12-05-2020	-	Item-07	Sabut Cuci Piring	8	-
382	Stok Masuk	12-05-2020	-	Item-09	Roti Tawar	17	-
382	Stok Masuk	12-05-2020	-	Item-16	Balsem Putih 20 gram	7	-
383	Penjualan	12-05-2020	Andi	Item-06	Sabun Mandi Cair 100 ml	4	10500
383	Penjualan	12-05-2020	Andi	Item-09	Roti Tawar	2	12500
384	Penjualan	12-05-2020	Asep	Item-09	Roti Tawar	2	12500
385	Penjualan	12-05-2020	Jaya	Item-02	Bawang Putih 200 gram	2	15000
385	Penjualan	12-05-2020	Jaya	Item-03	Gula Pasir Putih 1 kg	3	12500
385	Penjualan	12-05-2020	Jaya	Item-06	Sabun Mandi Cair 100 ml	1	10500
385	Penjualan	12-05-2020	Jaya	Item-07	Sabut Cuci Piring	2	7500
386	Penjualan	12-05-2020	Murni	Item-01	Batere AA	2	12000
386	Penjualan	12-05-2020	Murni	Item-02	Bawang Putih 200 gram	2	15000
386	Penjualan	12-05-2020	Murni	Item-03	Gula Pasir Putih 1 kg	2	12500
386	Penjualan	12-05-2020	Murni	Item-06	Sabun Mandi Cair 100 ml	1	10500
386	Penjualan	12-05-2020	Murni	Item-09	Roti Tawar	1	12500
387	Penjualan	12-05-2020	Rahma	Item-09	Roti Tawar	2	12500
388	Penjualan	12-05-2020	Tika	Item-01	Batere AA	3	12000
388	Penjualan	12-05-2020	Tika	Item-02	Bawang Putih 200 gram	4	15000
388	Penjualan	12-05-2020	Tika	Item-03	Gula Pasir Putih 1 kg	2	12500
388	Penjualan	12-05-2020	Tika	Item-06	Sabun Mandi Cair 100 ml	2	10500
388	Penjualan	12-05-2020	Tika	Item-07	Sabut Cuci Piring	2	7500
389	Penjualan	12-05-2020	Zaki	Item-03	Gula Pasir Putih 1 kg	4	12500
389	Penjualan	12-05-2020	Zaki	Item-06	Sabun Mandi Cair 100 ml	2	10500
389	Penjualan	12-05-2020	Zaki	Item-07	Sabut Cuci Piring	4	7500
390	Stok Masuk	13-05-2020	-	Item-04	Kopi Instant	61	-
390	Stok Masuk	13-05-2020	-	Item-05	Mi Goreng Instant	70	-
390	Stok Masuk	13-05-2020	-	Item-09	Roti Tawar	14	-
390	Stok Masuk	13-05-2020	-	Item-11	Sabun Cuci Piring	34	-
390	Stok Masuk	13-05-2020	-	Item-20	Gunting Kuku	16	-
391	Penjualan	13-05-2020	Diki	Item-05	Mi Goreng Instant	3	2600
392	Penjualan	13-05-2020	Iqbal	Item-02	Bawang Putih 200 gram	3	15000
392	Penjualan	13-05-2020	Iqbal	Item-03	Gula Pasir Putih 1 kg	2	12500
392	Penjualan	13-05-2020	Iqbal	Item-04	Kopi Instant	1	5200
392	Penjualan	13-05-2020	Iqbal	Item-05	Mi Goreng Instant	1	2600
393	Penjualan	13-05-2020	Randi	Item-02	Bawang Putih 200 gram	3	15000
393	Penjualan	13-05-2020	Randi	Item-03	Gula Pasir Putih 1 kg	3	12500
393	Penjualan	13-05-2020	Randi	Item-04	Kopi Instant	2	5200
393	Penjualan	13-05-2020	Randi	Item-05	Mi Goreng Instant	1	2600
394	Penjualan	13-05-2020	Siti	Item-05	Mi Goreng Instant	3	2600
395	Penjualan	13-05-2020	Sri	Item-03	Gula Pasir Putih 1 kg	3	12500
395	Penjualan	13-05-2020	Sri	Item-04	Kopi Instant	4	5200
395	Penjualan	13-05-2020	Sri	Item-05	Mi Goreng Instant	2	2600
396	Stok Masuk	14-05-2020	-	Item-02	Bawang Putih 200 gram	25	-
396	Stok Masuk	14-05-2020	-	Item-03	Gula Pasir Putih 1 kg	40	-
396	Stok Masuk	14-05-2020	-	Item-08	Vitamin C	50	-
397	Penjualan	14-05-2020	Hasan	Item-05	Mi Goreng Instant	2	2600
398	Penjualan	14-05-2020	Hengky	Item-03	Gula Pasir Putih 1 kg	3	12500
398	Penjualan	14-05-2020	Hengky	Item-04	Kopi Instant	3	5200
398	Penjualan	14-05-2020	Hengky	Item-05	Mi Goreng Instant	3	2600
399	Penjualan	14-05-2020	Kardi	Item-02	Bawang Putih 200 gram	1	15000
399	Penjualan	14-05-2020	Kardi	Item-03	Gula Pasir Putih 1 kg	2	12500
399	Penjualan	14-05-2020	Kardi	Item-04	Kopi Instant	2	5200
399	Penjualan	14-05-2020	Kardi	Item-05	Mi Goreng Instant	1	2600
400	Penjualan	14-05-2020	Komang	Item-04	Kopi Instant	4	5200
400	Penjualan	14-05-2020	Komang	Item-05	Mi Goreng Instant	2	2600
401	Penjualan	14-05-2020	Krisda	Item-01	Batere AA	2	12000
401	Penjualan	14-05-2020	Krisda	Item-02	Bawang Putih 200 gram	4	15000
401	Penjualan	14-05-2020	Krisda	Item-03	Gula Pasir Putih 1 kg	2	12500
401	Penjualan	14-05-2020	Krisda	Item-04	Kopi Instant	3	5200
401	Penjualan	14-05-2020	Krisda	Item-05	Mi Goreng Instant	3	2600
402	Penjualan	14-05-2020	Marta	Item-02	Bawang Putih 200 gram	2	15000
402	Penjualan	14-05-2020	Marta	Item-03	Gula Pasir Putih 1 kg	1	12500
402	Penjualan	14-05-2020	Marta	Item-04	Kopi Instant	1	5200
402	Penjualan	14-05-2020	Marta	Item-05	Mi Goreng Instant	2	2600
403	Penjualan	14-05-2020	Mita, Mira	Item-02	Bawang Putih 200 gram	3	15000
403	Penjualan	14-05-2020	Mita, Mira	Item-03	Gula Pasir Putih 1 kg	3	12500
403	Penjualan	14-05-2020	Mita, Mira	Item-04	Kopi Instant	1	5200
403	Penjualan	14-05-2020	Mita, Mira	Item-05	Mi Goreng Instant	3	2600
404	Penjualan	14-05-2020	Putri	Item-02	Bawang Putih 200 gram	4	15000
404	Penjualan	14-05-2020	Putri	Item-03	Gula Pasir Putih 1 kg	2	12500
404	Penjualan	14-05-2020	Putri	Item-04	Kopi Instant	4	5200
404	Penjualan	14-05-2020	Putri	Item-05	Mi Goreng Instant	2	2600
405	Penjualan	14-05-2020	Rasyid	Item-02	Bawang Putih 200 gram	2	15000
405	Penjualan	14-05-2020	Rasyid	Item-03	Gula Pasir Putih 1 kg	1	12500
405	Penjualan	14-05-2020	Rasyid	Item-04	Kopi Instant	2	5200
405	Penjualan	14-05-2020	Rasyid	Item-05	Mi Goreng Instant	4	2600
406	Penjualan	14-05-2020	Tri	Item-04	Kopi Instant	4	5200
406	Penjualan	14-05-2020	Tri	Item-05	Mi Goreng Instant	4	2600
407	Stok Masuk	15-05-2020	-	Item-05	Mi Goreng Instant	61	-
407	Stok Masuk	15-05-2020	-	Item-06	Sabun Mandi Cair 100 ml	66	-
407	Stok Masuk	15-05-2020	-	Item-18	Telur Ayam Negeri	82	-
408	Penjualan	15-05-2020	Anggun	Item-01	Batere AA	3	12000
408	Penjualan	15-05-2020	Anggun	Item-02	Bawang Putih 200 gram	1	15000
408	Penjualan	15-05-2020	Anggun	Item-03	Gula Pasir Putih 1 kg	2	12500
408	Penjualan	15-05-2020	Anggun	Item-04	Kopi Instant	3	5200
408	Penjualan	15-05-2020	Anggun	Item-05	Mi Goreng Instant	4	2600
409	Penjualan	15-05-2020	Hadi	Item-02	Bawang Putih 200 gram	2	15000
409	Penjualan	15-05-2020	Hadi	Item-03	Gula Pasir Putih 1 kg	2	12500
409	Penjualan	15-05-2020	Hadi	Item-04	Kopi Instant	3	5200
409	Penjualan	15-05-2020	Hadi	Item-05	Mi Goreng Instant	2	2600
410	Penjualan	15-05-2020	Nita	Item-04	Kopi Instant	1	5200
410	Penjualan	15-05-2020	Nita	Item-05	Mi Goreng Instant	2	2600
411	Penjualan	15-05-2020	Ujang	Item-01	Batere AA	4	12000
411	Penjualan	15-05-2020	Ujang	Item-02	Bawang Putih 200 gram	2	15000
411	Penjualan	15-05-2020	Ujang	Item-03	Gula Pasir Putih 1 kg	4	12500
411	Penjualan	15-05-2020	Ujang	Item-04	Kopi Instant	2	5200
411	Penjualan	15-05-2020	Ujang	Item-05	Mi Goreng Instant	3	2600
412	Penjualan	15-05-2020	Wulan	Item-02	Bawang Putih 200 gram	4	15000
412	Penjualan	15-05-2020	Wulan	Item-03	Gula Pasir Putih 1 kg	3	12500
412	Penjualan	15-05-2020	Wulan	Item-04	Kopi Instant	2	5200
412	Penjualan	15-05-2020	Wulan	Item-05	Mi Goreng Instant	4	2600
413	Penjualan	15-05-2020	Yuli	Item-04	Kopi Instant	4	5200
413	Penjualan	15-05-2020	Yuli	Item-05	Mi Goreng Instant	4	2600
414	Stok Masuk	16-05-2020	-	Item-03	Gula Pasir Putih 1 kg	42	-
414	Stok Masuk	16-05-2020	-	Item-09	Roti Tawar	18	-
415	Penjualan	16-05-2020	Bagus	Item-02	Bawang Putih 200 gram	3	15000
415	Penjualan	16-05-2020	Bagus	Item-03	Gula Pasir Putih 1 kg	1	12500
415	Penjualan	16-05-2020	Bagus	Item-04	Kopi Instant	1	5200
415	Penjualan	16-05-2020	Bagus	Item-05	Mi Goreng Instant	1	2600
416	Penjualan	16-05-2020	Bella	Item-05	Mi Goreng Instant	1	2600
417	Penjualan	16-05-2020	Zahra	Item-01	Batere AA	1	12000
417	Penjualan	16-05-2020	Zahra	Item-02	Bawang Putih 200 gram	2	15000
417	Penjualan	16-05-2020	Zahra	Item-03	Gula Pasir Putih 1 kg	1	12500
417	Penjualan	16-05-2020	Zahra	Item-04	Kopi Instant	2	5200
417	Penjualan	16-05-2020	Zahra	Item-05	Mi Goreng Instant	4	2600
418	Stok Masuk	17-05-2020	-	Item-02	Bawang Putih 200 gram	20	-
418	Stok Masuk	17-05-2020	-	Item-09	Roti Tawar	13	-
418	Stok Masuk	17-05-2020	-	Item-10	Biskuit Waver Kaleng	29	-
418	Stok Masuk	17-05-2020	-	Item-18	Telur Ayam Negeri	100	-
418	Stok Masuk	17-05-2020	-	Item-19	Obat Diare	33	-
419	Penjualan	17-05-2020	Andi	Item-04	Kopi Instant	2	5200
419	Penjualan	17-05-2020	Andi	Item-05	Mi Goreng Instant	2	2600
420	Penjualan	17-05-2020	Asep	Item-01	Batere AA	1	12000
420	Penjualan	17-05-2020	Asep	Item-02	Bawang Putih 200 gram	1	15000
420	Penjualan	17-05-2020	Asep	Item-03	Gula Pasir Putih 1 kg	4	12500
420	Penjualan	17-05-2020	Asep	Item-04	Kopi Instant	2	5200
420	Penjualan	17-05-2020	Asep	Item-05	Mi Goreng Instant	1	2600
421	Penjualan	17-05-2020	Galang	Item-02	Bawang Putih 200 gram	4	15000
421	Penjualan	17-05-2020	Galang	Item-03	Gula Pasir Putih 1 kg	1	12500
421	Penjualan	17-05-2020	Galang	Item-04	Kopi Instant	2	5200
421	Penjualan	17-05-2020	Galang	Item-05	Mi Goreng Instant	2	2600
422	Penjualan	17-05-2020	Komang	Item-05	Mi Goreng Instant	3	2600
423	Penjualan	17-05-2020	Rahmad	Item-01	Batere AA	1	12000
423	Penjualan	17-05-2020	Rahmad	Item-02	Bawang Putih 200 gram	1	15000
423	Penjualan	17-05-2020	Rahmad	Item-03	Gula Pasir Putih 1 kg	2	12500
423	Penjualan	17-05-2020	Rahmad	Item-04	Kopi Instant	2	5200
423	Penjualan	17-05-2020	Rahmad	Item-05	Mi Goreng Instant	3	2600
424	Penjualan	17-05-2020	Sri	Item-02	Bawang Putih 200 gram	2	15000
424	Penjualan	17-05-2020	Sri	Item-03	Gula Pasir Putih 1 kg	3	12500
424	Penjualan	17-05-2020	Sri	Item-04	Kopi Instant	2	5200
424	Penjualan	17-05-2020	Sri	Item-05	Mi Goreng Instant	2	2600
425	Stok Masuk	18-05-2020	-	Item-09	Roti Tawar	12	-
425	Stok Masuk	18-05-2020	-	Item-17	Obat Batuk	42	-
426	Penjualan	18-05-2020	Agung	Item-03	Gula Pasir Putih 1 kg	1	12500
426	Penjualan	18-05-2020	Agung	Item-04	Kopi Instant	1	5200
426	Penjualan	18-05-2020	Agung	Item-05	Mi Goreng Instant	2	2600
427	Penjualan	18-05-2020	Krisda	Item-03	Gula Pasir Putih 1 kg	3	12500
427	Penjualan	18-05-2020	Krisda	Item-05	Mi Goreng Instant	1	2600
427	Penjualan	18-05-2020	Krisda	Item-06	Sabun Mandi Cair 100 ml	2	10500
427	Penjualan	18-05-2020	Krisda	Item-08	Vitamin C	3	2000
428	Penjualan	18-05-2020	Mahmud	Item-01	Batere AA	3	12000
428	Penjualan	18-05-2020	Mahmud	Item-02	Bawang Putih 200 gram	4	15000
428	Penjualan	18-05-2020	Mahmud	Item-03	Gula Pasir Putih 1 kg	1	12500
428	Penjualan	18-05-2020	Mahmud	Item-05	Mi Goreng Instant	3	2600
428	Penjualan	18-05-2020	Mahmud	Item-06	Sabun Mandi Cair 100 ml	1	10500
429	Penjualan	18-05-2020	Marta	Item-01	Batere AA	1	12000
429	Penjualan	18-05-2020	Marta	Item-02	Bawang Putih 200 gram	4	15000
429	Penjualan	18-05-2020	Marta	Item-03	Gula Pasir Putih 1 kg	4	12500
429	Penjualan	18-05-2020	Marta	Item-05	Mi Goreng Instant	2	2600
429	Penjualan	18-05-2020	Marta	Item-06	Sabun Mandi Cair 100 ml	2	10500
430	Penjualan	18-05-2020	Murni	Item-03	Gula Pasir Putih 1 kg	1	12500
430	Penjualan	18-05-2020	Murni	Item-04	Kopi Instant	1	5200
430	Penjualan	18-05-2020	Murni	Item-05	Mi Goreng Instant	3	2600
431	Penjualan	18-05-2020	Rahma	Item-06	Sabun Mandi Cair 100 ml	2	10500
432	Penjualan	18-05-2020	Tia	Item-03	Gula Pasir Putih 1 kg	1	12500
432	Penjualan	18-05-2020	Tia	Item-05	Mi Goreng Instant	1	2600
432	Penjualan	18-05-2020	Tia	Item-06	Sabun Mandi Cair 100 ml	2	10500
433	Stok Masuk	19-05-2020	-	Item-03	Gula Pasir Putih 1 kg	45	-
433	Stok Masuk	19-05-2020	-	Item-05	Mi Goreng Instant	62	-
433	Stok Masuk	19-05-2020	-	Item-12	Beras Pulen 5 kg	25	-
433	Stok Masuk	19-05-2020	-	Item-13	Pisau Cukur	20	-
433	Stok Masuk	19-05-2020	-	Item-16	Balsem Putih 20 gram	7	-
434	Penjualan	19-05-2020	Diki	Item-06	Sabun Mandi Cair 100 ml	3	10500
434	Penjualan	19-05-2020	Diki	Item-08	Vitamin C	3	2000
435	Penjualan	19-05-2020	Hengky	Item-03	Gula Pasir Putih 1 kg	1	12500
435	Penjualan	19-05-2020	Hengky	Item-05	Mi Goreng Instant	4	2600
435	Penjualan	19-05-2020	Hengky	Item-06	Sabun Mandi Cair 100 ml	1	10500
435	Penjualan	19-05-2020	Hengky	Item-08	Vitamin C	3	2000
436	Penjualan	19-05-2020	Putra	Item-02	Bawang Putih 200 gram	1	15000
436	Penjualan	19-05-2020	Putra	Item-03	Gula Pasir Putih 1 kg	3	12500
436	Penjualan	19-05-2020	Putra	Item-05	Mi Goreng Instant	4	2600
436	Penjualan	19-05-2020	Putra	Item-06	Sabun Mandi Cair 100 ml	2	10500
436	Penjualan	19-05-2020	Putra	Item-08	Vitamin C	1	2000
